CLASS:,YOLOv5,SSD_resnet50v1_augmented_data
coloscare_hong,0.370680789798437,0.25788885345209
 coloscare_vang,0.784855855606844,0.195593447648242
 sumi_orange,0.880881542699725,0.794399274124701
 sumi_cherry,0.847075830771483,1
 coloscare_xanh,0.980826446280992,0.560892279906365
 smarta_grow,0.954510623476141,0.951048951048951
 tobokki_vang, nan, nan
 keo_kimiko, nan, nan
 vansua_nestle, nan, nan
 vansua_burine, nan, nan
 rongbien_bbq, nan, nan
 poro_do, nan, nan
 poro_xanhla,0.952569169960474,0.732751760024487
 kun_tim_suabich,0.871167557932264,0.660410323328984
 kun_cam_suabich, nan, nan
 poro_tim, nan, nan
 poro_xanhdatroi,0.976363636363636,0.974620345329728
 hipp_buckwheat,0.968181818181818,0.982517482517483
 tobokki_do, nan, nan
 kun_hong_suabich, nan, nan
 kun_do_suabich,1,0.912283298097252
 kun_xanhla_suabich,1,0.947240857228896
 aptamil,0.538461538461538,0.252006552006552
 hanie_kid,1,0.765379825653798
 metacare_blue,0.818181818181818,0.257311870519418
 coloscare_hong1,0.545454545454546,0.268524920009254
 ostelin_kids,0.858441558441558,0.898289808277847
 hd_kids,0.991735537190083,0.89033189033189
 nutricare_bone,1,1
 kazu_hong,1,0.843344155844156
 leankid_100_tim, nan, nan
 nestle_nan_xanhtroi,1,1
 kazu_xanh,1,0.56393061045235
 kazu_vang,0.65100990809547,0.854670619235837
 botandam_ridielac_xanhtroi,0.811447811447811,0.909090909090909
 suanon_goldilac, nan, nan
 botandam_metacare_hong,0.764964114832536,1
 botandam_metacare_xanh,0.909090909090909,1
 bot_andam_metacare_vang,0.810909090909091,1
 mamamy_daugoi,0.545454545454546,0.745136909161299
 Lactacycl_bb,0.909090909090909,0.945380860274477
 gohmo_suatam_nhat,0.818181818181818,1
 gohmo_suatam_dam, nan, nan
 cetaphil,0.909090909090909,0.975259844825062
 pureen_suatam_trang,0.818181818181818,0.727272727272727
 dnee_kid_do, nan, nan
 dnee_kid_xanh, nan, nan
 dr_smile,0.818181818181818,0.904306220095694
 diepannhi,0.607897153351699,0.584848484848485
 pureen_vang,0.727272727272727,0.797767145135566
 ro_luoi,0.909090909090909,0.965909090909091
 nuocmuoi,0.545454545454546,0.611111111111111
 botandam_dielac_do,0.796623603075216,0.923894366755664
 benokid_colos,0.756950625426204,0.941125357225612
 vinamilk_suabich, nan, nan
 fami_suabich,0.813131313131313,0.961038961038961
 pentavite,1,0.951551882460973
 nunest_hop,0.909090909090909,0.905454545454546
 beno_kid,1,1
 milktea_hong,1,1
 matcha_vang, nan, nan
 kazu_xanhla,0.090909090909091,0.520295173377661
 khautrang_kid,1,1
 elemis_xanh,1,0.878327812538339
 ongtho_hop, nan, nan
 suaoccho_nau,0.89469696969697,0.986531986531987
 care_100_gold_trang,0.818181818181818,0.865337870685464
 metacare_gold_xanhtroi,0.995670995670996,0.769506825534601
 metacare_gold_xanhla,1,0.639344428787244
 metacare_gold_hong,0.181818181818182,0.052047302291205
 care_100_trang_xanh,0.909090909090909,0.651871159032284
 goigiavi_xanhla,0.909090909090909,0.635981022344659
 goigiavi_do,1,1
