class_name,original,augmented
coloscare_hong,155,927
coloscare_vang,93,557
sumi_orange,72,430
sumi_cherry,88,526
coloscare_xanh,94,561
smarta_grow,84,501
tobokki_vang,70,420
keo_kimiko,69,413
vansua_nestle,53,318
vansua_burine,56,336
rongbien_bbq,71,426
poro_do,69,414
poro_xanhla,56,336
kun_tim_suabich,55,329
kun_cam_suabich,60,360
poro_tim,71,425
poro_xanhdatroi,63,377
hipp_buckwheat,64,384
tobokki_do,69,414
kun_hong_suabich,67,402
kun_do_suabich,79,474
kun_xanhla_suabich,92,552
aptamil,83,498
hanie_kid,77,462
metacare_blue,84,504
coloscare_hong1,28,168
ostelin_kids,81,486
hd_kids,80,480
nutricare_bone,87,522
kazu_hong,84,504
leankid_100_tim,84,504
nestle_nan_xanhtroi,88,528
kazu_xanh,91,546
kazu_vang,91,546
botandam_ridielac_xanhtroi,106,636
suanon_goldilac,93,558
botandam_metacare_hong,106,636
botandam_metacare_xanh,112,672
bot_andam_metacare_vang,111,666
mamamy_daugoi,72,432
Lactacycl_bb,70,420
gohmo_suatam_nhat,71,426
gohmo_suatam_dam,64,383
cetaphil,70,420
pureen_suatam_trang,75,449
dnee_kid_do,75,450
dnee_kid_xanh,53,318
dr_smile,74,444
diepannhi,72,432
pureen_vang,75,450
ro_luoi,75,450
nuocmuoi,80,480
botandam_dielac_do,83,498
benokid_colos,97,582
vinamilk_suabich,88,528
fami_suabich,92,551
pentavite,89,534
nunest_hop,90,540
beno_kid,90,540
milktea_hong,99,594
matcha_vang,85,510
kazu_xanhla,91,546
khautrang_kid,76,456
elemis_xanh,71,426
ongtho_hop,70,420
suaoccho_nau,95,570
care_100_gold_trang,94,564
metacare_gold_xanhtroi,90,540
metacare_gold_xanhla,81,486
metacare_gold_hong,82,492
care_100_trang_xanh,87,522
goigiavi_xanhla,81,486
goigiavi_do,81,485
goigiavi_nau,79,474
meji_hong,90,540
meji_nau,87,522
metamom_tim,90,540
suaoccho_1hop,89,533
care100_xanhla_1loc,146,876
hero_cam_1loc,83,498
pediasure_xanhhong_1loc,79,474
growplus_do_1loc,84,504
leankid100_vang_1loc,83,498
smarta_vang_1loc,86,516
babyme_1loc,81,486
kazu_hong_1loc,83,498
enfagrow_1loc,95,570
kazu_xanh_1loc,88,528
Th_1loc,81,486
yoko_1loc,86,516
kun_do_1loc,83,498
grow_vang_1loc,80,480
care100_vang_1loc,102,611
optimum_gold_1loc,86,516
